Kernel type,Num cols,Init buffer size,Num bytes,Num Blocks,Num threads,Kernel Time,Malloc Count,Kernel malloc,Vec malloc,Next buf malloc,Free,Result total len
WarpLevel (Gallatin),5,1024,4000,128,256,0.475,2049,1024,1025,0,2048,784
PrefixSum,5,1024,4000,128,256,0.104,0,0,0,0,0,784
WarpLevel (Gallatin),5,1024,40000,1,64,0.306,9,2,3,4,8,7962
PrefixSum,5,1024,40000,1,64,0.348,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,1,128,0.174,13,4,5,4,12,7962
PrefixSum,5,1024,40000,1,128,0.202,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,1,256,0.107,17,8,9,0,16,7962
PrefixSum,5,1024,40000,1,256,0.126,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,8,64,0.064,33,16,17,0,32,7962
PrefixSum,5,1024,40000,8,64,0.079,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,8,128,0.055,65,32,33,0,64,7962
PrefixSum,5,1024,40000,8,128,0.062,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,8,256,0.063,129,64,65,0,128,7962
PrefixSum,5,1024,40000,8,256,0.064,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,32,64,0.084,129,64,65,0,128,7962
PrefixSum,5,1024,40000,32,64,0.051,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,32,128,0.092,257,128,129,0,256,7962
PrefixSum,5,1024,40000,32,128,0.047,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,32,256,0.139,513,256,257,0,512,7962
PrefixSum,5,1024,40000,32,256,0.057,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,128,64,0.271,513,256,257,0,512,7962
PrefixSum,5,1024,40000,128,64,0.045,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,128,128,0.349,1025,512,513,0,1024,7962
PrefixSum,5,1024,40000,128,128,0.045,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,40000,128,256,0.502,2049,1024,1025,0,2048,7962
PrefixSum,5,1024,40000,128,256,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),5,1024,4000000,1,64,37.525,21,2,3,16,20,799948
PrefixSum,5,1024,4000000,1,64,53.664,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,1,128,19.698,37,4,5,28,36,799948
PrefixSum,5,1024,4000000,1,128,27.355,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,1,256,10.319,65,8,9,48,64,799948
PrefixSum,5,1024,4000000,1,256,14.378,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,8,64,5.295,113,16,17,80,112,799948
PrefixSum,5,1024,4000000,8,64,7.071,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,8,128,2.658,193,32,33,128,192,799948
PrefixSum,5,1024,4000000,8,128,3.458,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,8,256,1.298,321,64,65,192,320,799948
PrefixSum,5,1024,4000000,8,256,1.847,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,32,64,1.266,321,64,65,192,320,799948
PrefixSum,5,1024,4000000,32,64,1.800,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,32,128,0.743,513,128,129,256,512,799948
PrefixSum,5,1024,4000000,32,128,1.185,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,32,256,0.695,1024,256,257,511,1023,799948
PrefixSum,5,1024,4000000,32,256,0.649,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,128,64,0.683,1024,256,257,511,1023,799948
PrefixSum,5,1024,4000000,128,64,0.628,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,128,128,0.630,1537,512,513,512,1536,799948
PrefixSum,5,1024,4000000,128,128,0.581,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,4000000,128,256,0.540,2049,1024,1025,0,2048,799948
PrefixSum,5,1024,4000000,128,256,0.742,0,0,0,0,0,799948
WarpLevel (Gallatin),5,1024,40000000,1,64,379.562,27,2,3,22,26,8000738
PrefixSum,5,1024,40000000,1,64,552.504,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,1,128,192.843,49,4,5,40,48,8000738
PrefixSum,5,1024,40000000,1,128,288.335,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,1,256,98.373,89,8,9,72,88,8000738
PrefixSum,5,1024,40000000,1,256,138.964,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,8,64,47.016,161,16,17,128,160,8000738
PrefixSum,5,1024,40000000,8,64,68.855,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,8,128,23.883,289,32,33,224,288,8000738
PrefixSum,5,1024,40000000,8,128,34.615,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,8,256,12.263,513,64,65,384,512,8000738
PrefixSum,5,1024,40000000,8,256,17.688,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,32,64,12.226,513,64,65,384,512,8000738
PrefixSum,5,1024,40000000,32,64,17.349,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,32,128,6.585,897,128,129,640,896,8000738
PrefixSum,5,1024,40000000,32,128,9.260,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,32,256,6.569,1538,256,258,1024,1537,8000738
PrefixSum,5,1024,40000000,32,256,5.572,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,128,64,3.784,1538,256,258,1024,1537,8000738
PrefixSum,5,1024,40000000,128,64,5.549,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,128,128,4.403,3075,512,515,2048,3074,8000738
PrefixSum,5,1024,40000000,128,128,8.369,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,40000000,128,256,4.796,5123,1024,1027,3072,5122,8000738
PrefixSum,5,1024,40000000,128,256,9.671,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,1024,400000000,1,64,3768.647,35,2,3,30,34,80000786
PrefixSum,5,1024,400000000,1,64,5462.256,0,0,0,0,0,80000786
